Price,Close,High,Low,Open,Volume
Ticker,ASII.JK,ASII.JK,ASII.JK,ASII.JK,ASII.JK
Date,,,,,
2020-01-02,4718.49609375,4752.812428977272,4649.863423295455,4752.812428977272,15008600
2020-01-03,4769.970703125,4769.970703125,4684.179863140737,4752.812535128148,19068800
2020-01-06,4632.70556640625,4735.654578993056,4632.70556640625,4735.654578993056,22261900
2020-01-07,4649.86376953125,4684.1801073137685,4581.231093966213,4667.021938422509,27963000
2020-01-08,4649.86376953125,4684.1801073137685,4598.389262857472,4598.389262857472,15150400
2020-01-09,4718.49609375,4718.49609375,4632.705255681818,4667.021590909091,19691200
2020-01-10,4684.18017578125,4752.812852349473,4684.18017578125,4735.654683207417,17687600
2020-01-13,4752.81201171875,4752.81201171875,4684.179347289598,4701.337513396887,29585200
2020-01-14,4924.39453125,4924.39453125,4752.812840265679,4787.129178462544,41214400
2020-01-15,4941.55224609375,4975.868581136067,4821.445073445638,4907.235911051433,38535100
2020-01-16,4890.078125,4941.5526315789475,4855.761787280701,4890.078125,38504400
2020-01-17,4855.76171875,4907.236224602473,4804.287212897526,4855.76171875,26714800
2020-01-20,4804.287109375,4890.07795061384,4787.128941127232,4872.919782366072,22389100
2020-01-21,4821.44482421875,4821.44482421875,4752.8121576818285,4821.44482421875,12520300
2020-01-22,4804.287109375,4855.761614118303,4787.128941127232,4821.445277622768,20100300
2020-01-23,4838.60400390625,4872.920344359486,4804.287663453014,4838.60400390625,18020200
2020-01-24,4787.12890625,4838.60341061828,4787.12890625,4804.28707437276,13710000
2020-01-27,4615.54736328125,4787.129049648583,4598.3891946445165,4787.129049648583,17470800
2020-01-28,4684.18017578125,4684.18017578125,4564.072991786858,4581.2311609289145,23466100
2020-01-29,4684.18017578125,4701.338344923305,4632.705668355082,4701.338344923305,12646100
2020-01-30,4546.91455078125,4667.02172759434,4546.91455078125,4649.8635594781845,25324800
2020-01-31,4358.17431640625,4581.23048220657,4358.17431640625,4564.072315606546,66460400
2020-02-03,4306.69921875,4409.648204058764,4289.541054531872,4306.69921875,34538400
2020-02-04,4392.49072265625,4426.807056427002,4323.858055114746,4358.174388885498,46272800
2020-02-05,4392.49072265625,4461.123390197754,4323.858055114746,4426.807056427002,32227100
2020-02-06,4461.123046875,4478.281212439904,4409.648550180288,4461.123046875,26015800
2020-02-07,4392.49072265625,4495.439723968506,4392.49072265625,4495.439723968506,13918700
2020-02-10,4255.22509765625,4392.490423387097,4238.066931939894,4392.490423387097,45366900
2020-02-11,4186.5927734375,4323.858110271516,4152.2764392289955,4323.858110271516,54325000
2020-02-12,4100.80224609375,4186.593088062238,4066.4859093063546,4169.434919668541,51100700
2020-02-13,4083.643798828125,4135.118300494026,4066.4856316061578,4100.801966050091,33021700
2020-02-14,4186.5927734375,4186.5927734375,4066.485603707735,4100.80193791624,60901000
2020-02-17,4186.5927734375,4238.067274750256,4152.2764392289955,4220.909107646004,16567600
2020-02-18,4186.5927734375,4255.225441854508,4152.2764392289955,4152.2764392289955,27960300
2020-02-19,4289.54248046875,4289.54248046875,4220.90980078125,4238.067970703125,35186100
2020-02-20,4306.69921875,4306.69921875,4203.750233441235,4306.69921875,37995400
2020-02-21,4255.22509765625,4323.857760521673,4220.908766223539,4306.699594805317,33804700
2020-02-24,4186.5927734375,4220.909107646004,4135.118272124743,4152.2764392289955,34190600
2020-02-25,4272.3837890625,4306.70012471762,4100.802110786898,4117.960278614458,40723200
2020-02-26,4152.27685546875,4220.909530765754,4152.27685546875,4186.593193117252,34453700
2020-02-27,4083.643798828125,4186.592802159927,4083.6437988281245,4186.592802159927,44801100
2020-02-28,3791.95458984375,4015.0107421875,3791.95458984375,4015.0107421875,100693900
2020-03-02,3912.062255859375,4015.0112625925162,3860.587752492804,3912.0622558593745,63765800
2020-03-03,4049.32763671875,4100.802140575344,3963.5367969577596,4015.011300814354,53817300
2020-03-04,4100.80224609375,4135.118582881145,4032.169572518959,4049.3277409126567,43566600
2020-03-05,4152.27685546875,4152.27685546875,4032.1696736989925,4135.118686644499,40537300
2020-03-06,3894.904296875,4083.644152670705,3894.904296875,4083.644152670705,31282500
2020-03-09,3448.79150390625,3774.796670942164,3448.79150390625,3774.796670942164,87904100
2020-03-10,3534.58251953125,3654.6896925250303,3500.2661843901697,3500.2661843901697,86444600
2020-03-11,3517.42431640625,3551.7406512004573,3465.9498142149387,3534.5824838033536,45134700
2020-03-12,3369.864013671875,3448.791582220198,3308.0946121992743,3431.6334151444753,64824200
2020-03-13,3369.864013671875,3369.864013671875,3369.864013671875,3369.864013671875,0
2020-03-16,3150.23974609375,3273.7785596660538,3109.0601415696487,3273.7785596660538,55655900
2020-03-17,2930.614990234375,3157.1027997841043,2930.614990234375,3150.239532828052,67166600
2020-03-18,2848.255859375,2985.521201995482,2731.5803181475903,2944.3415992093373,61972000
2020-03-19,2649.220947265625,2759.033214509796,2649.220947265625,2759.033214509796,27066700
2020-03-20,2594.31494140625,2676.674145895337,2463.912867631862,2669.81087885458,141147800
2020-03-23,2415.8701171875,2594.3150690252132,2415.8701171875,2594.3150690252132,40318500
2020-03-24,2251.151611328125,2477.639425882479,2251.151611328125,2450.1863574516483,89502100
2020-03-26,2484.502685546875,2525.6822880697514,2209.9720020610325,2209.9720020610325,180290700
2020-03-27,2800.213134765625,2992.3846244064034,2505.0926328172873,2505.0926328172873,150312000
2020-03-30,2608.041259765625,2800.212721011513,2608.041259765625,2800.212721011513,45490800
2020-03-31,2676.67431640625,2731.580456229968,2566.862036758814,2662.9477814503207,62534800
2020-04-01,2587.45166015625,2807.0762042543934,2505.0924561194465,2662.947597189987,78042900
2020-04-02,2697.263916015625,2697.263916015625,2457.0495723501112,2518.8189750069578,39717300
2020-04-03,2676.67431640625,2779.623328575721,2649.2212464943914,2738.443723707933,42577100
2020-04-06,2765.896484375,2772.759751085608,2662.947483715881,2690.4005505583127,71205800
2020-04-07,2786.486328125,2916.8883976677957,2717.8536599445815,2786.486328125,79018000
2020-04-08,2642.358154296875,2765.8969770951703,2614.90508256392,2745.3071732954545,55980400
2020-04-09,2807.076171875,2827.665972646699,2656.0842995492053,2656.0842995492053,53526100
2020-04-13,2717.85400390625,2848.256089952257,2690.400933159722,2807.0764838324653,27520900
2020-04-14,2717.85400390625,2765.8968777126734,2690.400933159722,2717.85400390625,64571400
2020-04-15,2621.768310546875,2745.3071314626964,2608.0417748895616,2745.3071314626964,86149800
2020-04-16,2484.502685546875,2594.314958941212,2484.502685546875,2594.314958941212,61494300
2020-04-17,2608.041259765625,2635.494325657895,2525.6820620888157,2525.6820620888157,78593000
2020-04-20,2553.13525390625,2628.6311888335854,2546.271987094674,2608.0413883988576,50406600
2020-04-21,2498.22900390625,2566.861668848729,2477.6392044235063,2546.2718693659854,36590700
2020-04-22,2498.22900390625,2511.955536894746,2367.8269405155393,2470.7759379292584,76750500
2020-04-23,2580.58837890625,2601.1781798017787,2505.0924422893117,2539.4087771151926,85068700
2020-04-24,2491.365966796875,2580.5884394369837,2477.639432544551,2580.5884394369837,49597000
2020-04-27,2546.272216796875,2580.5885539504716,2450.1864727668044,2518.8191470739976,45682200
2020-04-28,2566.862060546875,2601.178398254721,2491.366117589614,2573.7253280884443,53532700
2020-04-29,2532.545654296875,2594.3150604992375,2505.0925848736024,2587.4517931434198,40557200
2020-04-30,2642.358154296875,2649.2214222301136,2553.1356711647727,2573.7254749644885,92257000
2020-05-04,2477.639404296875,2573.725142967668,2477.639404296875,2573.725142967668,71301800
2020-05-05,2477.639404296875,2511.955739536444,2457.049603153134,2491.3659383927024,54983300
2020-05-06,2498.22900390625,2525.6820698832416,2457.049404940762,2477.6392044235063,70425000
2020-05-08,2566.862060546875,2566.862060546875,2470.7763149649063,2532.545722839029,63346500
2020-05-11,2690.400390625,2690.400390625,2573.7248634805483,2580.588129783163,79511800
2020-05-12,2621.768310546875,2690.400988833442,2594.315239232248,2690.400988833442,58347900
2020-05-13,2559.998779296875,2621.7681868402315,2546.2722442872405,2621.7681868402315,44974600
2020-05-14,2450.18603515625,2546.271762025123,2422.732970336572,2539.4084958202034,80570900
2020-05-15,2546.272216796875,2553.1354842275946,2443.323205336085,2463.913007628243,65284900
2020-05-18,2683.53759765625,2710.9906677089994,2546.2722473925032,2553.1355149056903,88368200
2020-05-19,2710.990478515625,2772.759881823576,2704.1272114814083,2745.306813686709,77238800
2020-05-20,2724.716552734375,2731.57981861028,2656.0838939753226,2710.9900209825646,38965700
2020-05-26,2971.794921875,2992.384725028868,2724.7172840285793,2724.7172840285793,116041900
2020-05-27,2985.521240234375,3012.974309110093,2896.29876638829,2985.521240234375,68841200
2020-05-28,3115.92333984375,3143.3764089172632,2985.5212617445623,2999.2477962813186,86825700
2020-05-29,3273.7783203125,3273.7783203125,3067.880312745676,3102.1966473401467,164786500
2020-06-02,3246.3251953125,3397.3170648619184,3177.6925273354914,3266.9149957056025,72425900
2020-06-03,3356.1376953125,3397.3172989359664,3212.009082630368,3260.051953524412,76654100
2020-06-04,3266.914794921875,3404.180122439601,3253.1882621701025,3397.3168560637146,82711000
2020-06-05,3431.6337890625,3448.7919580078124,3205.145958984375,3280.6419023437497,63578800
2020-06-08,3448.79150390625,3603.2150040811566,3424.7700705457087,3603.2150040811566,53808200
2020-06-09,3431.6337890625,3517.424633789062,3417.90725390625,3500.26646484375,43049500
2020-06-10,3328.684814453125,3448.791998479784,3191.4194612798,3448.791998479784,39812900
2020-06-11,3225.735595703125,3321.8213368517286,3198.282526803524,3321.8213368517286,53920100
2020-06-12,3287.504638671875,3308.094438079006,3019.8372463791757,3150.2393092910033,45837700
2020-06-15,3253.188232421875,3328.6841618662643,3225.7351671693696,3294.3678303006327,42880500
2020-06-16,3411.044189453125,3431.6339934136063,3294.368633677062,3294.368633677062,38736700
2020-06-17,3411.044189453125,3431.6339934136063,3369.8645815321615,3424.7707254267793,24744500
2020-06-18,3294.36767578125,3411.043197631836,3294.36767578125,3411.043197631836,40331900
2020-06-19,3356.1376953125,3369.8642298536556,3294.368289877301,3314.9580916890336,62874800
2020-06-22,3356.1376953125,3390.454031665389,3328.684626230189,3383.590764394811,25097200
2020-06-23,3363.0009765625,3390.4540457589287,3328.684640066964,3356.137709263393,29490500
2020-06-24,3431.6337890625,3465.9501269531247,3363.0011132812497,3376.7276484374997,55421700
2020-06-25,3472.0224609375,3486.1939811862244,3401.1648596938776,3429.5079001913264,34952700
2020-06-26,3472.0224609375,3507.451261559311,3472.0224609375,3507.451261559311,24019200
2020-06-29,3401.16455078125,3472.0221455891924,3365.7357533772783,3472.0221455891924,29368700
2020-06-30,3401.16455078125,3457.850626627604,3401.1645507812495,3429.507588704427,25197000
2020-07-01,3408.25048828125,3443.679287535733,3379.9074488776637,3401.164728430353,22586000
2020-07-02,3450.765380859375,3464.9369019306664,3408.250817645502,3422.422338716793,26575000
