Price,Close,High,Low,Open,Volume
Ticker,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK,TLKM.JK
Date,,,,,
2020-01-02,2864.55615234375,2930.492227461637,2857.2299217750956,2908.5135357556746,52094000
2020-01-03,2915.839599609375,2915.839599609375,2879.2084488605137,2901.1871393098304,70032900
2020-01-06,2901.1875,2908.513731060606,2879.208806818182,2879.208806818182,42908900
2020-01-07,2886.534912109375,2908.513604333558,2871.8824506265864,2879.2086813679807,51837600
2020-01-08,2857.22998046875,2893.8611340645034,2857.22998046875,2871.8824419070515,52402600
2020-01-09,2901.1875,2908.513731060606,2871.882575757576,2871.882575757576,37580300
2020-01-10,2915.839599609375,2923.1658297591475,2893.8609091600583,2915.839599609375,48099000
2020-01-13,2952.470947265625,2952.470947265625,2923.1660247121204,2930.492255350496,61913800
2020-01-14,2893.861083984375,2930.4922369462024,2886.534853392009,2915.839775761471,95058600
2020-01-15,2842.577880859375,2901.18773407297,2835.251649207675,2901.18773407297,147583300
2020-01-16,2820.59912109375,2849.9040470271916,2805.946658127029,2849.9040470271916,118903100
2020-01-17,2791.2939453125,2835.2513302780512,2783.967714484908,2827.925099450459,119904100
2020-01-20,2791.2939453125,2813.2726377952754,2783.967714484908,2798.6201761400916,73599200
2020-01-21,2849.903564453125,2857.229794695935,2791.2937225106443,2791.2937225106443,78014400
2020-01-22,2827.92529296875,2849.903986955554,2820.599061639816,2849.903986955554,45839800
2020-01-23,2842.577880859375,2842.577880859375,2805.946722600878,2827.925417555976,41077400
2020-01-24,2871.88232421875,2879.208554637675,2827.9249417051974,2842.5774025430483,58524000
2020-01-27,2813.2724609375,2871.8823038736978,2805.946230570475,2871.8823038736978,33081800
2020-01-28,2805.946533203125,2813.272764360313,2783.9678397315597,2791.294070888748,56210000
2020-01-29,2857.22998046875,2857.22998046875,2813.2725961538463,2813.2725961538463,51929800
2020-01-30,2827.92529296875,2864.556449613423,2820.599061639816,2864.556449613423,60391600
2020-01-31,2783.967529296875,2849.9036023591693,2769.3150686163654,2849.9036023591693,120447900
2020-02-03,2740.010498046875,2798.6203482724763,2732.6842667686747,2783.967885716076,68360600
2020-02-04,2754.662841796875,2791.293996608004,2732.684148910198,2791.293996608004,77259600
2020-02-05,2761.989013671875,2769.3152444773705,2725.3578596443963,2754.662782866379,68150800
2020-02-06,2754.662841796875,2783.967765645778,2747.3366108346495,2783.967765645778,56261500
2020-02-07,2776.641845703125,2798.6205410516986,2754.6631503545514,2769.315613920267,53578900
2020-02-10,2791.2939453125,2820.5988686228675,2769.315252829724,2783.967714484908,86588500
2020-02-11,2776.641845703125,2805.946772834556,2769.315613920267,2791.2943092688406,50248200
2020-02-12,2798.6201171875,2820.598809207297,2769.315194494437,2783.9676558409687,73840300
2020-02-13,2732.683837890625,2805.946139174556,2718.031377633839,2798.619909046163,66699800
2020-02-14,2666.747802734375,2732.683874780005,2666.747802734375,2696.0527236435437,108793300
2020-02-17,2644.76953125,2681.4006881925206,2630.117068472992,2659.421994027008,94887800
2020-02-18,2652.095703125,2681.400628021409,2630.1170094526933,2630.1170094526933,94382900
2020-02-19,2652.095703125,2666.7481655732045,2630.1170094526933,2652.095703125,63717800
2020-02-20,2659.421875,2674.0743371212125,2637.443181818182,2652.095643939394,53035400
2020-02-21,2703.37939453125,2718.031857374238,2666.7482374237807,2674.0744688452746,86862600
2020-02-24,2666.747802734375,2725.357644552713,2659.4215725070826,2688.7264934162517,72610600
2020-02-25,2630.11669921875,2688.7265420982762,2630.11669921875,2637.442929578691,73990700
2020-02-26,2571.507080078125,2600.812004067619,2527.5496940938833,2586.1595420728722,133449900
2020-02-27,2542.2021484375,2600.811996240094,2505.570993560879,2571.5070723387967,88389400
2020-02-28,2556.854736328125,2556.854736328125,2446.9612662853688,2483.592422966288,151751800
2020-03-02,2520.223876953125,2600.8124311580214,2520.223876953125,2542.2025735544603,96802900
2020-03-03,2652.095703125,2681.400628021409,2542.202234763467,2571.5071596598755,114698200
2020-03-04,2805.946533203125,2813.272764360313,2659.4219100593587,2666.7481412165466,136081000
2020-03-05,2805.946533203125,2842.5776889890662,2754.6629151028064,2798.6203020459366,101235000
2020-03-06,2747.33642578125,2776.64134765625,2718.0315039062502,2732.68396484375,86476000
2020-03-09,2564.1806640625,2652.0954296875,2564.1806640625,2608.138046875,109347300
2020-03-10,2556.854736328125,2652.0957436985136,2549.528504991941,2549.528504991941,119718000
2020-03-11,2490.91845703125,2549.5283030790442,2468.9397647633273,2542.20207232307,115486900
2020-03-12,2424.982421875,2520.2234233383683,2395.6774983478094,2417.6561909932025,84363800
2020-03-13,2424.982421875,2424.982421875,2424.982421875,2424.982421875,0
2020-03-16,2315.089111328125,2417.656350437599,2315.089111328125,2417.656350437599,115972300
2020-03-17,2153.91162109375,2315.088681175595,2153.91162109375,2315.088681175595,150122700
2020-03-18,2058.6708984375,2256.479134230427,2007.3872817504448,2205.195517543372,150147300
2020-03-19,1919.472412109375,2058.6707931402075,1919.472412109375,2058.6707931402075,138987300
2020-03-20,2109.954833984375,2190.5433866712783,1794.926855299208,1948.7777286105686,267694700
2020-03-23,1963.4300537109375,2109.954684584888,1963.4300537109375,2109.954684584888,86157200
2020-03-24,1919.472412109375,2109.9544072041986,1882.8412592065242,1978.082256753936,243778900
2020-03-26,2183.216796875,2256.4791054949665,1868.1888698091443,1868.1888698091443,267369500
2020-03-27,2263.805419921875,2395.677580305674,2234.500495392142,2234.500495392142,200952500
2020-03-30,2300.436279296875,2329.741200052249,2109.954294386943,2241.8264377861265,134474300
2020-03-31,2315.089111328125,2417.656350437599,2285.7841858682755,2329.74157405805,151302900
2020-04-01,2271.131591796875,2344.3939012096776,2227.1742061491937,2329.741439327117,104550600
2020-04-02,2293.110107421875,2293.110107421875,2212.5215732952274,2271.131416296426,92893600
2020-04-03,2344.3935546875,2359.046014404297,2285.7837158203124,2307.762405395508,83469200
2020-04-06,2439.635009765625,2439.635009765625,2329.7415408572633,2403.003853462838,115495000
2020-04-07,2359.046142578125,2564.1805897588315,2344.3936820652175,2483.5920569378395,166425600
2020-04-08,2278.457763671875,2359.0463019367967,2234.500379163736,2359.0463019367967,124553900
2020-04-09,2285.783935546875,2329.7413189227764,2219.8478604830225,2278.4577049842246,122622400
2020-04-13,2329.74169921875,2366.3728580114976,2293.1105404260024,2300.436772184552,45469500
